numero;pagina;id_produto;nome;preco;status;variacoes;skus;link
166;14;290550384;Livro de Colorir 48 Folhas 150g | Dani Fernandes e Animativa;R$76,90;Disponivel;1;CCOL01;https://danifernandes.com.br/produtos/livro-de-colorir-48-folhas-150g-dani-fernandes-e-animativa-1i011/
167;14;246350091;Bandeja em Cerâmica Raízes Do Brasil;R$206,90;Disponivel;1;BAND/33/DF;https://danifernandes.com.br/produtos/bandeja-em-ceramica-raizes-do-brasil/
168;14;246350008;Difusor e Sabonete Líquido Baby 250ml Dani Fernandes;R$310,80;Disponivel;1;925;https://danifernandes.com.br/produtos/kit-difusor-e-sabonete-baby-250-ml-dani-fernandes-925/
169;15;246349728;Sabonete Glitter Tênue 120ml;R$128,90;Disponivel;1;SAB 01/120;https://danifernandes.com.br/produtos/sabonete-glitter-tenue-120-ml/
170;15;316209864;Aromatizador de Ambiente Home Spray Peônias e Chás 70ml | Dani Fernandes & Bridgerton;R$244,90;Disponivel;1;SPRAY/B1/70;https://danifernandes.com.br/produtos/aromatizador-de-ambiente-home-spray-peonias-e-chas-70ml-dani-fernandes-bridgerton-flpks/
171;15;246349760;Sabonete Liquido Folhas e Ervas 350ml;R$189,90;Disponivel;1;SAB 17/350;https://danifernandes.com.br/produtos/sabonete-liquido-folhas-e-ervas-350-ml/
172;15;246349737;Sabonete Líquido Bamboo 210ml Dan Fernandes;R$184,90;Disponivel;1;SAB 19/210;https://danifernandes.com.br/produtos/sabonete-liquido-bamboo-210-ml/
173;15;246349735;Home Spray Bamboo 210ml Dani Fernandes;R$204,90;Disponivel;1;SPRAY 19/210;https://danifernandes.com.br/produtos/home-spray-bamboo-210-ml/
174;15;246349712;Sabonete Líquido Lavanda 250ml Dani Fernandes;R$152,90;Disponivel;2;"SAB 02/250; SAB 02/250P";https://danifernandes.com.br/produtos/sabonete-liquido-lavanda-250-ml/
175;15;246350045;Difusor e Sabonete Líquido Romã 700ml Dani Fernandes;R$726,80;Disponivel;1;963;https://danifernandes.com.br/produtos/kit-difusor-e-sabonete-roma-700-ml-dani-fernandes-963/
176;15;316392881;Barra de Cera Perfumada Wax Melts Peônias e Chás 50g | Dani Fernandes & Bridgerton;R$99,90;Disponivel;1;CERA /B1/50;https://danifernandes.com.br/produtos/barra-de-cera-perfumada-wax-melts-peonias-e-chas-50g-dani-fernandes-bridgerton-1c0s6/
